"BCR1","BCR2","BCR3","BCR4","BCR5","BCR6","BCR7","BCR8","BCR9","BCR10","BCR11","BCR12","BCR13","BCR14","BCR15","BCR16","BCR17","BCR18","BCR19","BCR20","BCR21","BCR22","BCR23","BCR24","BCR25","BCR26","BCR27","BCR28","BCR29","BCR30","BCR31","BCR32","BCR33","BCR34","BCR35","BCR36","BCR37","BCR38","BCR39","BCR40","Species","model"
NA,NA,NA,NA,0,NA,NA,NA,-0.0407569650587536,-0.13946354458652,-0.0308753946002411,-0.0117060810759515,0.0116707146402835,NA,NA,-0.0635523570935825,0.0560970029790115,-0.246079916685008,0.0217909782997921,NA,NA,-0.000269760233742457,-0.0716245127285749,0.0379964497466423,NA,NA,NA,-0.0804051091562138,-0.0475618735086101,-0.0718305394289215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMGO",15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMKE",11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMKE",14
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMKE",15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMPI",11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMPI",14
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMPI",15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMRE",11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMRE",14
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMRE",15
NA,NA,NA,0,-0.0061560514259005,-0.00631935295603415,NA,-0.00773778371160576,0.0239163883249671,0.0369588986247697,-0.021816657895618,-0.0149777666303352,-0.0121005924158503,-0.00238850643936675,-0.0043970004047133,0.0194492177729123,0.0195547715419691,0.0307208002618016,0.0370153388709501,NA,NA,-0.0062302177532424,-0.0104680293574733,NA,NA,0.0406483563390202,-0.00135365867432402,-0.00962586974173513,-0.00724659310103827,-0.0129517217949589,NA,NA,NA,-0.249295951550751,NA,NA,NA,NA,NA,NA,"AMRO",11
NA,NA,NA,0,-0.00547172110799274,-0.0035782012942573,NA,-0.00484440268041409,0.0347755847921377,0.0449934888389708,-0.00443724988063272,-0.016638243392853,-0.00819558836979134,0.000111712525867207,-0.0019533463578218,0.026092200455538,0.0264430693493327,0.040754159932286,0.00518012511656806,NA,NA,-0.00877264595385017,0.0642889636968766,NA,NA,0.00304899856186902,0.000945848884945351,-0.00609370445794854,-0.00435682409582827,-0.00954105181071345,NA,NA,NA,0.00312779391133196,NA,NA,NA,NA,NA,NA,"AMRO",14
NA,NA,NA,0,-0.00702940619887977,-0.00490764613291241,NA,-0.00669048584678825,0.0250212060361561,0.0672577448747889,-0.0059545299342569,-0.016049148824499,-0.01148816043921,-0.00148242650452388,-0.00324146336679095,0.0226229623148481,0.0206682716660386,0.0293606891809897,0.0367118755454592,NA,NA,-0.00567441412810066,-0.0107494124532728,NA,NA,0.0402672756217122,-0.000570030757517672,-0.00792550060905241,-0.00660592388273014,-0.0105546522402074,NA,NA,NA,-0.250667604581591,NA,NA,NA,NA,NA,NA,"AMRO",15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANHU",11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANHU",14
