"Species","n","model","aic","intercept","tssr","tssr2","od","od2"
"ACFL",20700,1,44841.6451922907,-1.0575843015488,NA,NA,NA,NA
"ACFL",20700,2,44824.8538053113,-1.05862516193043,NA,NA,1.08189436101849,NA
"ACFL",20700,3,44825.4773243652,-1.05189213004016,NA,NA,1.19021935011783,-5.40530376016756
"ACFL",20700,4,44803.5509017541,-1.05104716321236,-0.991131679019058,NA,NA,NA
"ACFL",20700,5,44805.38547378,-1.04860866243388,-0.965442176362219,-0.762646360111723,NA,NA
"ACFL",20700,6,44785.7003398149,-1.05192473841991,-1.00538220924494,NA,1.1078184002521,NA
"ACFL",20700,7,44785.7434102474,-1.04407097432358,-1.01435223030637,NA,1.20989455450429,-6.34183877534181
"ACFL",20700,8,44787.5693702522,-1.04971934009648,-0.985293686752241,-0.692413222025131,1.10759582533677,NA
"ACFL",20700,9,44787.6268336252,-1.04199639286135,-0.999720177817592,-0.601348078649467,1.23473784781283,-6.32581682225879
"ACWO",3119,1,12431.8382498679,-1.57003293222747,NA,NA,NA,NA
"ACWO",3119,2,12414.60616095,-1.64235089377346,NA,NA,-2.51823542454972,NA
"ACWO",3119,3,12410.5117346802,-1.58986814102593,NA,NA,-5.01994098704295,-22.1267782196098
"ACWO",3119,4,12432.3812168269,-1.58012566124386,1.04373559791023,NA,NA,NA
"ACWO",3119,5,12434.207784128,-1.59534401222022,0.81541706229967,5.96156770871879,NA,NA
"ACWO",3119,6,12415.6847398123,-1.64947540019235,0.783570236424994,NA,-2.46352493336022,NA
"ACWO",3119,7,12410.8557890142,-1.59627869204008,1.08300240064601,NA,-5.141081532976,-23.6337495259293
"ACWO",3119,8,12417.6911992341,-1.65179742467691,0.755495876230658,0.790719337476551,-2.4656685307506,NA
"ACWO",3119,9,12413.6633750025,-1.63570812150285,0.367130990050863,16.1893433808168,-4.72794980920578,-21.1108094898893
"ADWA",409,1,3687.45150410415,-1.47480756632617,NA,NA,NA,NA
"ADWA",409,2,3689.4158591991,-1.47977921338413,NA,NA,0.22057893339674,NA
"ADWA",409,3,3690.74824057752,-1.498453758434,NA,NA,-2.65298980622244,23.3671517404212
"ADWA",409,4,3688.9424911853,-1.47201009624483,-0.759531292729796,NA,NA,NA
"ADWA",409,5,3688.0502860935,-1.38915490050173,0.37942528244412,-28.4088241260624,NA,NA
"ADWA",409,6,3690.87587502354,-1.47915616126557,-0.779389878162884,NA,0.306678797298904,NA
"ADWA",409,7,3692.08769119279,-1.49922971365888,-0.88001961313738,NA,-2.83933752283066,25.733159672257
"ADWA",409,8,3690.02339916175,-1.38333519045407,0.418467025061733,-28.9520749948637,-0.19020406759586,NA
"ADWA",409,9,3691.662941742,-1.41107547854803,0.197760848905894,-25.5020848575454,-2.80579658111467,21.9207581889022
"ALFL",8534,1,20769.0000673522,-1.23714748951023,NA,NA,NA,NA
"ALFL",8534,2,20756.8139935808,-1.24011831979367,NA,NA,-2.17165492972565,NA
"ALFL",8534,3,20726.1319792589,-1.17415902002517,NA,NA,-2.84862790503643,-111.530891872277
"ALFL",8534,4,20768.91653203,-1.23436429998188,-0.381421278942427,NA,NA,NA
"ALFL",8534,5,20768.8329281031,-1.2500707143809,-0.575595359511489,4.9045732443913,NA,NA
"ALFL",8534,6,20756.7189093436,-1.23743309641223,-0.390878037072451,NA,-2.17799612801471,NA
"ALFL",8534,7,20725.4324818605,-1.16987815771152,-0.435399227895872,NA,-2.83580576524152,-112.384425051104
"ALFL",8534,8,20755.8845386496,-1.25564436448863,-0.605730927361315,5.69017010282074,-2.24140259586919,NA
"ALFL",8534,9,20757.8412336411,-1.26455840658706,-0.729501495260413,7.91867738644198,-2.213340710889,-0.847517577884235
"ALHU",113,1,212.400462977796,-2.68580803455565,NA,NA,NA,NA
"ALHU",113,2,214.394984394275,-2.67098734206455,NA,NA,-1.3641950273006,NA
"ALHU",113,3,208.634125913082,-1.09201661264728,NA,NA,-22.9952685716387,-4151.34565368128
"ALHU",113,4,211.884846200037,-23.9472201578769,-225.675818432569,NA,NA,NA
"ALHU",113,5,213.914541194504,-17.8120079265634,-155.879010844784,120.015750892093,NA,NA
"ALHU",113,6,212.191037690156,-13.7925786976452,-137.398372611162,NA,-41.8160131226114,NA
"ALHU",113,7,212.359606867266,-10.374799117267,-104.946110431256,NA,-89.8432546475439,49.8645724679862
"ALHU",113,8,212.413869460836,-9.36316622110061,-84.5526746538624,103.258028272496,-86.0134351947152,NA
"ALHU",113,9,214.392130322567,-9.79822458871279,-93.6703451793074,55.4664925029332,-88.4652483160081,0.410749293686372
"AMCR",61865,1,179698.78526445,-1.33353472249998,NA,NA,NA,NA
