"BCR1","BCR2","BCR3","BCR4","BCR5","BCR6","BCR7","BCR8","BCR9","BCR10","BCR11","BCR12","BCR13","BCR14","BCR15","BCR16","BCR17","BCR18","BCR19","BCR20","BCR21","BCR22","BCR23","BCR24","BCR25","BCR26","BCR27","BCR28","BCR29","BCR30","BCR31","BCR32","BCR33","BCR34","BCR35","BCR36","BCR37","BCR38","BCR39","BCR40","Species","model"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.15791309589923,0.320293071536435,-0.0659645564681852,-0.0219513031466408,0.0929073959899274,0.340243117811407,NA,0.584172014707542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACFL",10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.238174762021419,0.535989980939626,-0.114524607274394,-0.0668835345508735,0.0378302207971899,0.243474311804822,NA,0.189437254827007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACFL",11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.206092950224938,0.348158400236352,-0.153809110780564,0.0811098705735251,0.347224939091257,0.311623611499138,NA,0.572643199367037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACFL",12
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.55873426800159,0.714987394559668,-0.27162154074242,0.0555058745528307,0.217785984358565,0.179176872515392,NA,0.256806695838368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACFL",13
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.235459682315722,0.347351169794624,-0.0518029944823443,-0.102172916791579,0.139360732162352,0.383256762409772,NA,0.290332717861147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACFL",14
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.209884010772609,0.441746460737703,-0.169348901704649,-0.0866390349955121,0.180337786888988,0.253213459805603,NA,0.060512715237179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACFL",15
NA,NA,NA,NA,0,NA,NA,NA,1.03069702294314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.145719673349578,NA,-0.507206005152173,NA,NA,NA,NA,NA,NA,"ACWO",10
NA,NA,NA,NA,0,NA,NA,NA,0.566619747628886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.599216253966386,NA,0.0548456699948533,NA,NA,NA,NA,NA,NA,"ACWO",11
NA,NA,NA,NA,0,NA,NA,NA,0.521484327320519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.48542321186694,NA,0.784623837411657,NA,NA,NA,NA,NA,NA,"ACWO",12
NA,NA,NA,NA,0,NA,NA,NA,1.12568500957469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.053252884566293,NA,0.56859717989377,NA,NA,NA,NA,NA,NA,"ACWO",13
