Species,d_model,d_n,d_int,d_roaddist,d_forest,d_roaddistforest,logtau
CHSW,3,968,4.09352702,NA,-0.174523969,NA,NA
CHUK,3,708,5.352748116,NA,0.572716314,NA,NA
CITE,3,55,5.800485167,NA,-1.105790148,NA,NA
CLNU,1,6891,4.979914963,NA,NA,NA,NA
CLSW,5,4114,4.258109044,1.64E-06,0.172914034,4.46E-05,NA
CMWA,3,1858,3.988425475,NA,-0.441394934,NA,NA
COFL,1,2972,4.194264462,NA,NA,NA,NA
COGA,4,53,3.984173016,0.02477384,-4.977251667,NA,NA
COGR,4,16613,4.163724077,1.07E-06,-0.140793023,NA,NA
COHA,1,306,4.410639531,NA,NA,NA,NA
COLO,3,365,5.549960583,NA,0.877282801,NA,NA
COME,3,93,4.801359873,NA,0.559279394,NA,NA
CONI,1,3564,4.945505411,NA,NA,NA,NA
CONW,5,4700,4.140265155,1.37E-05,-5.99E-05,-2.58E-05,NA
COPO,1,149,5.252026861,NA,NA,NA,NA
CORA,4,23773,5.311273066,8.57E-06,-0.62542372,NA,NA
CORE,3,157,3.902724692,NA,-0.231425039,NA,NA
COYE,4,22762,4.494470087,2.23E-06,-0.55229017,NA,NA
CRTH,1,154,4.753787413,NA,NA,NA,NA
CSWA,3,14812,4.802309157,NA,-1.051343311,NA,NA
CWWI,2,87,4.270235804,0.009601608,NA,NA,NA
DCCO,3,269,4.803670086,NA,0.683456026,NA,NA
DEJU,5,37894,4.103449051,6.16E-07,-0.019733799,-5.38E-06,NA
DICK,3,3271,4.445668363,NA,0.374005435,NA,NA
DOWO,4,4508,4.141621172,4.16E-06,-0.215712519,NA,NA
DUFL,1,10353,4.209518019,NA,NA,NA,NA
DUGR,1,436,4.302863317,NA,NA,NA,NA
DUNL,NA,NA,NA,NA,NA,NA,NA
EABL,2,2561,4.27627701,2.33E-06,NA,NA,NA
EAGR,5,71,5.359012638,-7.76E-05,-2.174147199,0.007800423,NA
EAKI,2,6915,4.218305079,8.87E-07,NA,NA,NA
EAME,5,4869,4.338903765,3.11E-06,0.388332437,0.000273651,NA
EAPH,5,2542,4.341052098,5.44E-06,-0.188256075,-1.98E-05,NA
EATO,2,3295,4.210079881,6.02E-06,NA,NA,NA
EAWP,2,7732,4.342158252,9.18E-06,NA,NA,NA
EUCD,3,2586,4.643050874,NA,0.187520415,NA,NA
EUST,5,13917,4.068859308,2.65E-06,0.16576978,0.000130822,NA
EVGR,5,2927,4.229798356,1.32E-05,5.24E-05,-4.58E-05,NA
FEHA,1,198,4.976927619,NA,NA,NA,NA
FICR,3,332,4.625402079,NA,-0.413280082,NA,NA
FISP,2,4953,4.716683442,2.95E-06,NA,NA,NA
FOSP,4,1992,4.413459345,-6.89E-06,-0.143525424,NA,NA
FRGU,3,103,4.588376317,NA,-0.415536062,NA,NA
GADW,1,387,5.138614988,NA,NA,NA,NA
GAQU,3,1582,4.91287207,NA,0.221422397,NA,NA
GBHE,1,1065,4.841161038,NA,NA,NA,NA
GCFL,4,7215,4.506642858,4.99E-06,-0.584224004,NA,NA
GCKI,4,10404,3.715433784,1.86E-06,-0.182412982,NA,NA
GCTH,1,96,4.07169897,NA,NA,NA,NA
GFWO,1,303,4.992588865,NA,NA,NA,NA
GHJU,1,1675,3.892346968,NA,NA,NA,NA
GHOW,1,375,5.039390214,NA,NA,NA,NA
GIWO,1,190,4.989549613,NA,NA,NA,NA
GOEA,1,262,5.548816931,NA,NA,NA,NA
GRAJ,5,6235,4.039948947,8.65E-06,-5.55E-05,-1.39E-05,NA
GRCA,4,4714,4.191258946,1.73E-06,-0.181100585,NA,NA
GREG,3,724,5.232331429,NA,-1.393327867,NA,NA
GRFL,1,5250,4.12863348,NA,NA,NA,NA
GRHE,1,123,4.375726627,NA,NA,NA,NA
GRPC,1,316,6.185655961,NA,NA,NA,NA
GRRO,2,481,4.811914685,0.000526291,NA,NA,NA
GRSG,1,98,4.746996255,NA,NA,NA,NA
GRSP,3,19615,4.222442301,NA,-0.079779421,NA,NA
GRVI,1,2244,4.565054146,NA,NA,NA,NA
GRWA,1,2116,4.315644134,NA,NA,NA,NA
GRYE,2,406,4.154111496,-6.81E-06,NA,NA,NA
GTGR,3,563,4.814807812,NA,-0.300870673,NA,NA
GTTO,1,11733,4.463112954,NA,NA,NA,NA
GWWA,5,872,4.484229593,2.04E-06,-0.366597717,-8.65E-05,NA
HAFL,4,3770,4.034747679,-2.04E-05,-0.079836921,NA,NA
HAWO,4,9078,4.32372393,3.60E-06,-0.250247883,NA,NA
HETA,1,616,4.48545906,NA,NA,NA,NA
HETH,5,36241,4.537399079,1.28E-05,-0.079199363,-2.10E-05,NA
HOFI,4,6105,4.160998782,1.75E-06,0.120175277,NA,NA
HOLA,3,42968,4.440189376,NA,-0.02725334,NA,NA
HOSP,2,6540,4.039104591,2.25E-06,NA,NA,NA
HOWA,1,1380,4.081329729,NA,NA,NA,NA
HOWR,4,19181,4.434005246,2.43E-06,-0.173671654,NA,NA
INBU,4,9684,4.215288359,2.42E-06,-0.322722088,NA,NA
JUTI,1,3290,4.178788326,NA,NA,NA,NA
KEWA,1,580,4.29331683,NA,NA,NA,NA
KILL,5,11682,4.463698264,2.73E-06,0.326607526,-1.55E-05,NA
LARB,3,13936,4.743923312,NA,-0.047128475,NA,NA
LASP,1,13370,4.421489696,NA,NA,NA,NA
LAZB,1,5089,4.397963533,NA,NA,NA,NA
LBCU,1,2532,5.227638117,NA,NA,NA,NA
LBHE,2,265,4.935266858,-1.02E-06,NA,NA,NA
LBWO,1,434,4.537461895,NA,NA,NA,NA
LCSP,4,1360,3.993397863,2.48E-06,-0.137604283,NA,NA
LEFL,4,15391,4.08759496,3.76E-06,-0.233149917,NA,NA
LEGO,1,1503,4.10692077,NA,NA,NA,NA
LESA,1,73,2.793934624,NA,NA,NA,NA
LESC,1,71,5.417905786,NA,NA,NA,NA
LEWO,1,173,4.751453384,NA,NA,NA,NA
LEYE,2,211,4.110676991,-3.81E-06,NA,NA,NA
LISP,5,9682,4.131809825,4.66E-06,-0.00012022,-1.24E-05,NA
LOSH,3,1435,4.569587357,NA,0.220347346,NA,NA
LOWA,1,62,3.872010324,NA,NA,NA,NA
LUWA,1,295,4.150996967,NA,NA,NA,NA
MAGO,3,1262,4.928805656,NA,-0.391553804,NA,NA
MALL,2,2637,4.80386412,5.25E-05,NA,NA,NA
MAWA,5,15471,3.96064728,8.33E-06,-0.039261413,-1.29E-05,NA
MAWR,3,679,4.453944563,NA,-0.498907952,NA,NA
MCLO,3,2162,4.743695813,NA,-0.431057477,NA,NA
MEJA,3,148,4.4210786,NA,0.333164255,NA,NA
MERL,1,66,4.867546936,NA,NA,NA,NA
MGWA,2,6512,4.17976715,-2.58E-05,NA,NA,NA
MIKI,1,251,4.466001382,NA,NA,NA,NA
MOBL,1,8039,4.491099832,NA,NA,NA,NA
MOCH,1,20922,4.13520025,NA,NA,NA,NA
MODO,4,51513,4.619153712,4.86E-06,0.147301153,NA,NA
MOPL,1,199,5.1289122,NA,NA,NA,NA
MOWA,4,13203,4.271537437,6.92E-06,-0.333581148,NA,NA
MWCS,1,667,4.530290617,NA,NA,NA,NA
MYWA,3,440,4.250198681,NA,0.206196087,NA,NA
NAWA,3,20908,4.700145264,NA,-0.922252799,NA,NA
NESP,3,54,4.0767199,NA,-1.282784979,NA,NA
NOBO,1,2800,5.353719653,NA,NA,NA,NA
NOCA,2,14295,4.330573606,2.89E-06,NA,NA,NA
NOFL,4,21242,4.76008651,4.42E-06,-0.280243218,NA,NA
NOGO,1,91,4.413848764,NA,NA,NA,NA
NOHA,1,1095,5.070333994,NA,NA,NA,NA
NOMO,5,11786,4.603316047,-5.88E-07,0.101663315,0.000173582,NA
NOPA,3,3572,4.776238096,NA,-0.972473829,NA,NA
NOPI,3,281,4.716659739,NA,0.406182801,NA,NA
NOPO,1,111,4.928195448,NA,NA,NA,NA
NOWA,5,3792,4.037452743,9.93E-06,0.088453218,-1.69E-05,NA
NRWS,3,1586,3.920776906,NA,0.194663064,NA,NA
NSHO,3,334,4.853924597,NA,0.603073096,NA,NA
OCWA,4,4401,4.134209082,-2.21E-06,-0.142129528,NA,NA
OLWA,1,84,4.415322025,NA,NA,NA,NA
ORJU,3,521,3.447181589,NA,0.145120433,NA,NA
OROR,2,1605,4.074756779,1.27E-06,NA,NA,NA
OSFL,5,3642,4.686961407,6.42E-06,-0.000608332,-1.73E-05,NA
OSPR,1,175,4.919381028,NA,NA,NA,NA
OVEN,4,60670,4.784779097,5.15E-06,-0.729611601,NA,NA
PABU,1,753,4.333487318,NA,NA,NA,NA
PAWA,5,2642,3.901204034,5.44E-06,-0.018326739,-9.37E-06,NA
PAWR,1,1765,4.177005279,NA,NA,NA,NA
PBGR,1,188,5.775646196,NA,NA,NA,NA
PEFA,1,93,5.328291703,NA,NA,NA,NA
PHAI,1,565,4.391599234,NA,NA,NA,NA
PHVI,1,2541,3.925621542,NA,NA,NA,NA
PIGR,2,1582,4.276374717,-1.14E-05,NA,NA,NA
PIJA,4,2936,5.142596046,-5.87E-05,-0.147391666,NA,NA
PISI,5,21187,4.037288066,2.34E-06,-0.042138218,-1.37E-05,NA
PIWA,2,4057,4.058939625,8.01E-06,NA,NA,NA
PIWO,4,4409,5.106576203,9.15E-06,-0.899972007,NA,NA
PLVI,1,4996,4.489338527,NA,NA,NA,NA
PRAW,3,204,3.992035476,NA,0.53878934,NA,NA
PRFA,1,176,5.06145327,NA,NA,NA,NA
PROW,1,577,3.943198894,NA,NA,NA,NA
PSJU,1,426,3.733890656,NA,NA,NA,NA
PUFI,4,2063,4.301345198,5.79E-06,-0.406402361,NA,NA
PUMA,3,1197,3.954355451,NA,0.425180642,NA,NA
PYNU,1,2800,4.078430022,NA,NA,NA,NA
PYRR,1,230,4.767898364,NA,NA,NA,NA
RBGR,5,14854,4.767039786,4.93E-06,-0.709888309,6.90E-06,NA
RBGU,5,259,4.926034273,0.000265006,-0.052921117,-0.000562939,NA
RBJU,1,100,3.564372498,NA,NA,NA,NA
RBNU,4,29646,4.483906561,3.99E-06,-0.296677224,NA,NA
RBWO,4,5629,4.71903982,3.03E-06,-0.270571674,NA,NA
RCKI,4,31521,4.460582488,-7.48E-07,-0.277023923,NA,NA
RCSP,1,935,4.334389986,NA,NA,NA,NA
RECR,5,7348,4.287393915,2.76E-06,0.015232161,-2.22E-05,NA
REDH,1,53,5.053946155,NA,NA,NA,NA
REVI,5,56780,4.634906852,6.91E-06,-0.730385432,3.83E-06,NA
RFWA,1,290,4.171606973,NA,NA,NA,NA
RHWO,2,1886,4.655418547,2.07E-06,NA,NA,NA
RINP,1,7641,6.091224536,NA,NA,NA,NA
RNEP,1,1665,5.384218269,NA,NA,NA,NA
RNSA,1,2288,4.308162117,NA,NA,NA,NA
RODO,5,355,5.122409504,0.003283576,-0.255268597,-0.048528532,NA
ROPI,4,2374,4.142753442,1.06E-05,0.510453934,NA,NA
ROWR,1,12406,5.084686248,NA,NA,NA,NA
RSFL,1,1036,4.264384413,NA,NA,NA,NA
RSHA,1,353,4.788131873,NA,NA,NA,NA
RTHA,1,3051,5.108665493,NA,NA,NA,NA
RTHU,2,1181,3.509840542,-1.30E-06,NA,NA,NA
RUBL,1,168,3.88690163,NA,NA,NA,NA
RUDU,2,59,4.702913828,0.003045204,NA,NA,NA
RUGR,4,4421,4.704220595,1.15E-05,-0.629877895,NA,NA
RUHU,1,227,3.310804109,NA,NA,NA,NA
RWBL,5,36655,4.388283423,1.73E-06,0.030385222,-3.05E-05,NA
SABS,1,5928,4.683482524,NA,NA,NA,NA
SACR,1,1767,5.79149329,NA,NA,NA,NA
SAPH,1,3006,4.99733421,NA,NA,NA,NA
SATH,1,8199,5.226399448,NA,NA,NA,NA
SAVS,5,17266,4.29415246,1.09E-06,-0.000517356,-8.44E-06,NA
SCOR,1,790,4.617187298,NA,NA,NA,NA
SCQU,2,1004,5.20715602,-9.74E-05,NA,NA,NA
SCTA,4,3048,4.573292681,5.57E-06,-0.651246351,NA,NA
SEOW,1,243,4.811230106,NA,NA,NA,NA
SEWR,2,2048,4.462717262,1.15E-06,NA,NA,NA
SMLO,1,74,3.893012647,NA,NA,NA,NA
SNEG,3,141,5.031732991,NA,-0.823191832,NA,NA
SORA,1,425,5.018396908,NA,NA,NA,NA
SOSA,2,231,4.151710136,-7.36E-06,NA,NA,NA
SOSP,2,25192,4.209383676,2.94E-06,NA,NA,NA
SPGR,1,130,3.881168632,NA,NA,NA,NA
SPPI,2,5357,4.764219484,6.18E-05,NA,NA,NA
SPSA,2,877,4.31610669,-3.86E-06,NA,NA,NA
SPTO,3,15765,4.484077991,NA,-0.043843536,NA,NA
