Species,r_model,r_n,r_int,r_roaddist,r_forest,r_roaddistforest
CONI,1,3534,-0.890634202,NA,NA,NA
CONW,2,1453,-0.818372214,-1.80E-06,NA,NA
COPO,1,150,-0.830088975,NA,NA,NA
CORA,2,24042,-1.386792745,-1.59E-06,NA,NA
CORE,3,86,-1.328106089,NA,-2.532727807,NA
COYE,1,18177,-1.14825241,NA,NA,NA
CRTH,1,154,-1.176917167,NA,NA,NA
CSWA,1,12968,-1.268004672,NA,NA,NA
CWWI,1,87,-0.116252673,NA,NA,NA
DCCO,3,309,-2.783286749,NA,-31.9725062,NA
DEJU,5,36075,-0.973651979,-1.34E-05,-0.152433328,-2.77E-05
DICK,1,3271,-0.427601145,NA,NA,NA
DOWO,1,3559,-2.281520913,NA,NA,NA
DUFL,1,10433,-0.83306168,NA,NA,NA
DUGR,1,436,-1.220794553,NA,NA,NA
EABL,3,2399,-2.250417214,NA,0.748943174,NA
EAGR,3,90,-0.49177561,NA,0.73485658,NA
EAKI,1,5116,-1.606291592,NA,NA,NA
EAME,2,2744,-0.751750906,-3.22E-06,NA,NA
EAPH,1,1598,-1.87061741,NA,NA,NA
EATO,4,3258,-0.837920894,-1.93E-06,0.472858277,NA
EAWP,2,7933,-1.391895659,6.44E-07,NA,NA
EUCD,1,2605,-1.386922831,NA,NA,NA
EUST,4,4660,-1.813067657,7.15E-07,0.214194171,NA
EVGR,2,2540,-1.713328636,-4.09E-06,NA,NA
FEHA,1,216,-1.301933823,NA,NA,NA
FICR,2,332,-0.351512707,-0.089704209,NA,NA
FISP,4,4447,-0.872237466,-2.21E-06,0.136238759,NA
FOSP,2,2242,-0.920182719,-0.000629114,NA,NA
FRGU,4,224,-1.563787346,0.000598682,-3.129584783,NA
GADW,1,655,-1.33692499,NA,NA,NA
GAQU,1,1572,-0.617659297,NA,NA,NA
GBHE,1,1091,-2.420730932,NA,NA,NA
GCFL,1,5528,-1.71810389,NA,NA,NA
GCKI,4,7582,-1.123956364,-4.86E-06,-0.599665996,NA
GCSP,4,59,-4.276211883,0.000121241,3.214453507,NA
GCTH,1,108,-1.786612988,NA,NA,NA
GFWO,1,303,-1.040716288,NA,NA,NA
GHJU,1,1675,-0.988009674,NA,NA,NA
GHOW,1,388,-0.813375803,NA,NA,NA
GIWO,1,190,-1.166147667,NA,NA,NA
GOEA,1,260,-1.959101853,NA,NA,NA
GRAJ,2,5636,-1.963527597,-5.55E-06,NA,NA
GRCA,1,3483,-1.75609639,NA,NA,NA
GREG,3,724,-1.383409657,NA,-47.47978832,NA
GRFL,1,5243,-0.90367542,NA,NA,NA
GRHE,1,123,-21.05136064,NA,NA,NA
GRPC,1,315,-0.253739363,NA,NA,NA
GRRO,1,480,-1.214097894,NA,NA,NA
GRSG,1,98,-1.202023464,NA,NA,NA
GRSP,2,17034,-0.473421022,-3.32E-06,NA,NA
GRVI,1,2238,-0.781862704,NA,NA,NA
GRWA,1,2114,-0.825899966,NA,NA,NA
GRYE,1,536,-1.498927664,NA,NA,NA
GTGR,2,562,-1.533348231,-0.000467633,NA,NA
GTTO,1,11726,-0.75276941,NA,NA,NA
GWTE,2,74,-0.774306426,-8.506060391,NA,NA
GWWA,3,1532,-1.644076293,NA,-0.806236778,NA
HAFL,4,3865,-0.878541544,-6.70E-05,-0.31643782,NA
HAWO,2,8004,-1.63070244,-2.54E-06,NA,NA
HETA,1,614,-1.068437231,NA,NA,NA
HETH,4,34177,-0.758920425,-2.76E-06,-0.208456798,NA
HOFI,2,5128,-1.369252187,-1.55E-06,NA,NA
HOLA,4,40515,-0.973355689,-8.01E-07,0.071160908,NA
HOSP,3,2939,-1.177897415,NA,0.431636726,NA
HOWA,1,1380,-0.505471781,NA,NA,NA
HOWR,4,18553,-0.840682381,-7.64E-07,0.092406985,NA
INBU,4,8403,-0.995971286,-1.32E-06,0.509865717,NA
JUTI,1,3280,-1.285466721,NA,NA,NA
KEWA,1,580,-0.892164363,NA,NA,NA
KILL,4,10060,-1.47530341,-6.13E-07,0.313718527,NA
LARB,4,13492,-0.97555075,-2.65E-05,0.077800099,NA
LASP,1,13303,-1.287022703,NA,NA,NA
LAZB,1,5086,-0.842369389,NA,NA,NA
LBCU,2,2045,-1.220150024,8.57E-05,NA,NA
LBHE,1,265,-18.15798531,NA,NA,NA
LBWO,1,433,-1.680061412,NA,NA,NA
LCSP,5,1627,-0.915018199,-3.72E-06,0.441637293,3.49E-05
LEFL,2,11173,-1.012874452,5.47E-07,NA,NA
LEGO,1,1497,-1.791553895,NA,NA,NA
LESC,1,167,-0.632909933,NA,NA,NA
LEWO,1,173,-1.627750858,NA,NA,NA
LEYE,1,387,-1.424312585,NA,NA,NA
LISP,4,7444,-0.873700596,-3.86E-06,-0.267597651,NA
LOSH,1,1417,-1.418898125,NA,NA,NA
LOWA,1,65,-18.21836905,NA,NA,NA
